Hạng mục,Tiêu chí đánh giá,Trạng thái,Ghi chú/Vấn đề phát hiện,Đề xuất sửa đổi
1. Tính Rõ Ràng & Ngôn Ngữ,"Loại bỏ các từ mơ hồ (nhanh, đẹp, tối ưu,...) và thay bằng con số cụ thể.",FALSE,,
1. Tính Rõ Ràng & Ngôn Ngữ,Thuật ngữ đồng nhất trong toàn bộ tài liệu (không dùng nhiều tên cho một đối tượng).,FALSE,,
1. Tính Rõ Ràng & Ngôn Ngữ,"Cấu trúc câu rõ ràng, không gây hiểu lầm.",FALSE,,
2. Logic Chức Năng,Đầy đủ luồng chính (Happy Path).,FALSE,,
2. Logic Chức Năng,Đầy đủ luồng ngoại lệ/xử lý lỗi (Exception/Alternative Path).,FALSE,,
2. Logic Chức Năng,Quy định rõ ràng về phân quyền (ai được làm gì).,FALSE,,
2. Logic Chức Năng,"Ràng buộc dữ liệu (kiểu dữ liệu, độ dài, bắt buộc) được mô tả chi tiết.",FALSE,,
2. Logic Chức Năng,Không có sự xung đột logic giữa các yêu cầu khác nhau.,FALSE,,
3. Logic Nghiệp Vụ,Mô tả đúng quy trình nghiệp vụ thực tế của khách hàng.,FALSE,,
3. Logic Nghiệp Vụ,Vòng đời của các đối tượng (ví dụ: đơn hàng) được mô tả đầy đủ các trạng thái.,FALSE,,
3. Logic Nghiệp Vụ,Các công thức tính toán (nếu có) được định nghĩa chính xác.,FALSE,,
4. Yêu Cầu Phi Chức Năng,"Hiệu năng: Chỉ rõ số lượng người dùng đồng thời, thời gian phản hồi.",FALSE,,
4. Yêu Cầu Phi Chức Năng,"Bảo mật: Quy định về mã hóa, phân quyền truy cập, log hệ thống.",FALSE,,
4. Yêu Cầu Phi Chức Năng,Khả dụng: Phương án xử lý khi hệ thống gặp sự cố.,FALSE,,
5. Tính Kiểm Thử Được,Mỗi yêu cầu có thể kiểm chứng được bằng một hoặc nhiều test case.,FALSE,,
5. Tính Kiểm Thử Được,Yêu cầu không quá chung chung dẫn đến việc không biết kiểm tra thế nào là đạt.,FALSE,,
